ID,Titre,Genre,Pays_origine,Budget,Recettes,Nombre_votes,Note_moyenne,Realisateurs,Acteurs_principaux,Date_sortie
2202,Money Fight,Thriller Action Drame,,140000.0,0.0,447.0,4.3,James Boss,"James Boss, Abel Ryu, Eric Park",2021
2203,Money Plane,Action Policier,,838109.0,0.0,260.0,5.8,,,2020
2204,Monica and Friends: Lessons,Familial Drame Comédie,,0.0,0.0,68.0,8.2,Daniel Rezende,"Giulia Benite, Kevin Vechiatto, Laura Rauseo",2021
2205,Monkey Beach,,,2330000.0,0.0,1.0,6.0,,,2020
2206,Monkey King Reborn,Animation Action Fantastique Familial,China,20000000.0,0.0,588.0,7.16,王云飞,"Jiang Bian, Haiting Cai, Su Shangqing, 张磊, 张赫",2021
2207,Monkey Man,Action Thriller,,10000000.0,12000000.0,38.0,7.6,,,2024
2208,Monster,Drame Policier,,0.0,0.0,59.0,6.6,,,2021
2209,Monster Family 2,Animation Familial,,0.0,0.0,56.0,6.6,,,2021
2210,Monster High : le film,Familial Fantastique Comédie Aventure Musique TV Movie,"Canada, United States of America",1000000.0,0.0,445.0,6.87,Todd Holland,"Miia Harris, Ceci Balagot, Nayah Damasen, Jy Prishkulnik, Case Walker",2022
2211,Monster Hunter,Action Fantastique Aventure,"China, Germany, Japan, Canada",60000000.0,42145959.0,6220.0,6.62,Paul W. S. Anderson,"Milla Jovovich, Tony Jaa, Ron Perlman, T.I., Diego Boneta",2020
2212,Monster Hunter: Legends of the Guild,Animation Aventure Action Fantastique,,0.0,0.0,59.0,5.6,,,2021
2213,Monster Hunters,Science-Fiction Action,,0.0,0.0,166.0,6.5,,,2020
2214,Monster Pets: A Hotel Transylvania Short,Animation Comédie Fantastique,,0.0,0.0,327.0,7.4,,,2021
2215,Monsters of Man,Science-Fiction,,1900000.0,0.0,268.0,6.5,,,2020
2216,Moon Man,Science-Fiction Comédie,,0.0,200000.0,32.0,7.1,,,2022
2217,Moon Rock for Monday,Drame,,20000000.0,0.0,2.0,7.5,,,2021
2218,Moonage Daydream,Documentaire Musique,,0.0,10680627.0,95.0,7.9,,,2022
2219,Moonbound,Animation Aventure Comédie,,2000000.0,6666618.0,79.0,6.4,,,2021
2220,Moonfall,Science-Fiction Aventure Action,"Hong Kong, United Kingdom, United States of America",146000000.0,67319703.0,5819.0,6.33,Roland Emmerich,"Halle Berry, Patrick Wilson, John Bradley, Charlie Plummer, 于文文",2022
2221,Moonshot,Comédie Romance Science-Fiction,,0.0,0.0,86.0,7.3,,,2022
2222,Morbius,Action Science-Fiction Fantastique,United States of America,75000000.0,167635712.0,7898.0,6.05,Daniel Espinosa,"Jared Leto, Matt Smith, Adria Arjona, Jared Harris, Tyrese Gibson",2022
2223,More Beautiful for Having Been Broken,Drame,United States of America,0.0,0.0,69.0,6.93,Nicole Conn,"Zoe Ventoura, Kayla Jenee Radomski, Harley Jane Kozak, Cale Ferrin, French Stewart",2020
2224,More Than Ever,Drame,,5000000.0,0.0,6.0,6.8,,,2022
2225,More the Merrier,Comédie Romance,,0.0,0.0,368.0,6.8,,,2021
2226,Morning,Drame,,544242.0,0.0,0.0,,,,2020
2227,Mort sur le Nil,Mystère Policier Thriller,United States of America,90000000.0,137307235.0,6697.0,6.45,Kenneth Branagh,"Kenneth Branagh, Tom Bateman, Annette Bening, Russell Brand, Ali Fazal",2022
2228,Mortal,Action Fantastique Thriller,,0.0,106270.0,416.0,6.6,,,2020
2229,Mortal Kombat,Action Fantastique Aventure,United States of America,20000000.0,84426031.0,11121.0,7.06,Simon McQuoid,"Lewis Tan, Jessica McNamee, Mehcad Brooks, Josh Lawson, Ludi Lin",2021
2230,Mortal Kombat Legends: Battle of the Realms,Animation Action Fantastique,United States of America,0.0,0.0,775.0,7.68,Ethan Spaulding,"Jordan Rodrigues, Jennifer Carpenter, Joel McHale, Patrick Seitz, Dave B. Mitchell",2021
2231,Mortal Kombat Legends: Scorpion's Revenge,Animation Action Fantastique,United States of America,0.0,0.0,2576.0,8.14,Ethan Spaulding,"Patrick Seitz, Jordan Rodrigues, Jennifer Carpenter, Joel McHale, Ike Amadi",2020
2232,Most Eligible Bachelor,Romance,,5800000.0,0.0,5.0,6.2,Bommarillu Baskar,"Akhil Akkineni, Pooja Hegde, Neha Shetty",2021
2233,Mother To Earth: The Untold Story Of EarthBound,Documentaire,,50000.0,0.0,0.0,,,,2020
2234,Mother and Son,Drame,,3900000.0,0.0,3.0,7.3,,,2022
2235,Mother of Apostles,Drame,,750000.0,0.0,2.0,7.0,,,2020
2236,Mother/Android,Science-Fiction Thriller,,0.0,0.0,620.0,5.9,,,2021
2237,Mothers' Instinct,Thriller Drame,,0.0,1606319.0,123.0,6.64,,,2024
2238,Mountainhead,Drame Comédie,United States of America,0.0,0.0,93.0,5.38,Jesse Armstrong,"Steve Carell, Jason Schwartzman, Cory Michael Smith, Ramy Youssef, Daniel Oreskes",2025
2239,Mourir peut attendre,Action Aventure Thriller,"United Kingdom, United States of America",250000000.0,774153024.0,12228.0,7.38,Cary Joji Fukunaga,"Daniel Craig, Léa Seydoux, Rami Malek, Lashana Lynch, Ralph Fiennes",2021
2240,Moustache Funk,Documentaire,,61500.0,0.0,0.0,,,,2021
2241,Moving On,Drame,,0.0,114575.0,27.0,6.8,,,2020
2242,Moxie,Comédie Drame Musique,,0.0,0.0,697.0,7.4,,,2021
2243,Mr Wolff 2,Mystère Policier Thriller,United States of America,80000000.0,102123366.0,995.0,7.2,Gavin O'Connor,"Ben Affleck, Jon Bernthal, Cynthia Addai-Robinson, J.K. Simmons, Allison Robertson",2025
2244,Mr. Harrigan's Phone,Drame Thriller Horreur Mystère,,0.0,0.0,634.0,6.51,,,2022
2245,Mr. Zoo: The Missing VIP,Comédie Action Fantastique,,0.0,4354691.0,574.0,6.0,Tae-Yun Kim,"Lee Sung-min, Kim Seo-hyeong, Bae Jeong-nam",2020
2246,Mrs. Harris Goes to Paris,Drame Comédie,,0.0,10370305.0,154.0,7.3,,,2022
2247,Mrs. Serial Killer,Thriller,,0.0,0.0,73.0,6.4,Shirish Kunder,"Jacqueline Fernandez, Manoj Bajpayee, Mohit Raina",2020
2248,Mucho Mucho Amor: The Legend of Walter Mercado,Documentaire,,0.0,0.0,60.0,7.5,"Cristina Costantini, Kareem Tabsch","Walter Mercado, Willy Acosta, Lin-Manuel Miranda",2020
2249,Mud Flat Murders,Mystère Policier Drame Thriller,,100000.0,0.0,1.0,1.0,,,2021
2250,Mudhal Nee Mudivum Nee,Drame,,179000.0,0.0,4.0,8.0,Darbuka Siva,"Kishen Das, Meetha Raghunath, Harish Kumar",2022
2251,Mufasa : Le Roi Lion,Aventure Animation Familial,United States of America,200000000.0,722631756.0,2224.0,7.39,Barry Jenkins,"Aaron Pierre, Kelvin Harrison, Jr., Tiffany Boone, Kagiso Lediga, Preston Nyman",2024
2252,Muhammed Mustafa Özdemir The Way Out,,,8765230.0,24300000.0,2.0,10.0,,,2021
2253,Mujeres arriba,Comédie Romance,,0.0,0.0,76.0,7.5,,,2020
2254,Mujib: The Making of a Nation,Drame Historique Guerre,,8000000.0,0.0,1.0,10.0,,,2023
2255,Mulan,Aventure Fantastique Drame Action,United States of America,200000000.0,69965374.0,13029.0,6.89,Niki Caro,"刘亦菲, Donnie Yen, 巩俐, Jet Li, Jason Scott Lee",2020
2256,Multiverse,Science-Fiction Thriller Drame,,0.0,0.0,260.0,6.7,,,2021
2257,Munich: The Edge of War,Drame Historique,,0.0,0.0,441.0,6.9,,,2022
2258,Muppets Haunted Mansion,Comédie Familial TV Movie,,0.0,0.0,157.0,6.5,,,2021
2259,Murder Mystery 2,Comédie Mystère Action,,0.0,0.0,222.0,6.71,,,2023
2260,Murder Party,Comédie Policier,,0.0,0.0,68.0,5.0,,,2022
2261,Murder to Mercy - The Cyntoia Brown Story,Documentaire,,0.0,0.0,86.0,7.1,,,2020
2262,Murina,Drame,,0.0,389447.0,18.0,6.3,,,2022
2263,Muse: Simulation Theory,Musique,,0.0,0.0,53.0,8.0,,,2020
2264,Music,Musique Drame,,16000000.0,645949.0,115.0,5.6,,,2021
2265,Mutant Ghost Wargirl,Science-Fiction Action,China,0.0,0.0,53.0,5.42,Liu Binjie,"Miya Muqi, Li Mingxuan, Liu Beige, Cui Zhenzhen, Mou Fengbin",2022
2266,Mutation on Mars,Drame Science-Fiction,,0.0,0.0,52.0,6.8,,,2021
2267,Mutiny of the Worker Bees,Comédie,,0.0,0.0,68.0,7.2,,,2020
2268,Muzzle,Action Thriller,United States of America,0.0,7807.0,297.0,6.49,John Stalberg Jr.,"Aaron Eckhart, Stephen Lang, Diego Tinoco, Leslie Black, Penelope Mitchell",2023
2269,My Best Friend Anne Frank,Historique Guerre Drame,,0.0,0.0,154.0,6.7,Ben Sombogaart,"Aiko Beemsterboer, Roeland Fernhout, Peter Blok",2021
2270,My Best Friend's Exorcism,Horreur Comédie,,0.0,0.0,103.0,6.15,,,2022
2271,My Best Part,Drame Comédie,,0.0,0.0,525.0,5.5,Nicolas Maury,"Nicolas Maury, Nathalie Baye, Arnaud Valois",2020
2272,My Boyfriend's Meds,Comédie,,0.0,0.0,283.0,7.12,,,2020
2273,"My Brother, My Sister",Drame,,0.0,0.0,93.0,6.5,,,2021
2274,My Cousin,Comédie,,10854516.0,2982559.0,705.0,5.51,Jan Kounen,"Vincent Lindon, Matei Dussarps, Pascale Arbillot",2020
2275,My Days of Glory,Comédie,,0.0,0.0,55.0,5.4,,,2020
2276,My Dear F***ing Prince,Comédie Romance Drame,United States of America,0.0,0.0,1476.0,8.01,Matthew López,"Taylor Zakhar Perez, Nicholas Galitzine, Uma Thurman, Clifton Collins Jr., Rachel Hilson",2023
2277,My Dog Is Sick,Fantastique Horreur Romance,,250000.0,0.0,0.0,,,,2021
2278,"My Donkey, My Lover & I",Comédie Aventure Romance,,0.0,0.0,271.0,6.5,Caroline Vignal,"Laure Calamy, Benjamin Lavernhe, Olivia Côte",2020
2279,My Emptiness and I,Drame,,300000.0,0.0,2.0,7.5,,,2022
2280,My Fairy Troublemaker,Aventure Animation Comédie Familial Fantastique,,0.0,1819302.0,5.0,5.8,,,2022
2281,My Fake Boyfriend,Comédie Romance,,0.0,0.0,95.0,6.15,,,2022
2282,My Father's Dragon,Animation Aventure Familial Fantastique Comédie,,0.0,0.0,55.0,7.6,,,2022
2283,My Father's Violin,Drame Musique,,0.0,0.0,300.0,7.9,,,2022
2284,My Father’s Brothers,,,50000.0,0.0,0.0,,,,2021
2285,My First Summer,Drame Romance,,0.0,0.0,144.0,8.2,Katie Found,"Arthur Angel, Markella Kavenagh, Steve Mouzakis",2020
2286,My Grandpa is Santa,Comédie Familial,,155500.0,0.0,0.0,,,,2021
2287,My Heart Goes Boom!,Comédie,,0.0,580759.0,59.0,6.3,Nacho Álvarez,"Ingrid García Jonsson, Verónica Echegui, Fernando Guallar",2020
2288,My Hero Academia : World Heroes' Mission,Animation Action Aventure Science-Fiction,Japan,0.0,46940541.0,957.0,7.6,長崎健司,"Daiki Yamashita, Nobuhiko Okamoto, Yuki Kaji, 吉沢亮, Kazuya Nakai",2021
2289,My Hero Academia : You’re Next,Animation Action Aventure Science-Fiction,Japan,0.0,32224616.0,141.0,7.04,Tensai Okamura,"Daiki Yamashita, 生見愛瑠, Mamoru Miyano, Kenta Miyake, Nobuhiko Okamoto",2024
2290,My Little Pony: A New Generation,Animation Familial Fantastique Comédie Aventure,,0.0,4100000.0,261.0,7.82,"Robert Cullen, José Luis Ucha, Mark Fattibene","Vanessa Hudgens, Kimiko Glenn, James Marsden",2021
2291,My Love,Romance Drame,,0.0,114000000.0,11.0,6.5,,,2021
2292,My Name Is Francesco Totti,Documentaire,,0.0,0.0,187.0,7.5,Alex Infascelli,"Aldair, Alberto Aquilani, Gabriel Batistuta",2020
2293,My Name Is Gulpilil,Documentaire,,20000000.0,0.0,2.0,6.2,,,2021
2294,My Name Is Vendetta,Action Policier Thriller,,0.0,0.0,395.0,6.9,,,2022
2295,My Octopus Teacher,Documentaire,,0.0,0.0,713.0,7.91,,,2020
2296,My Policeman,Drame Romance,,0.0,0.0,644.0,7.73,,,2022
2297,"My Sailor, My Love",Drame Romance,,4600000.0,0.0,3.0,7.0,,,2022
2298,My Salinger Year,Drame,,0.0,236653.0,129.0,6.4,,,2021
2299,My Son,Thriller Mystère Drame Policier,,0.0,0.0,337.0,6.2,,,2021
2300,My Struggle,Drame Policier,,250000.0,0.0,5.0,10.0,,,2021
2301,My Thoughts Are Silent,Comédie Drame,,344000.0,351500.0,34.0,7.9,,,2020
2302,My Valentine,Thriller Horreur,,0.0,0.0,50.0,5.8,,,2020
2303,Mémoire meutrière,Action Thriller Policier,United States of America,30000000.0,13900000.0,2670.0,6.87,Martin Campbell,"Liam Neeson, Guy Pearce, Taj Atwal, Harold Torres, Ray Fearon",2022
2304,Mémoires d’un escargot,Animation Drame Comédie,Australia,4350000.0,7.0,570.0,8.08,Adam Elliot,"Sarah Snook, Kodi Smit-McPhee, Jacki Weaver, Magda Szubanski, Dominique Pinon",2024
2305,NOPE!,Comédie,,50000.0,0.0,1.0,10.0,,,2021
2306,Nabab LLB,Thriller,,174859.0,0.0,0.0,,,,2020
2307,Nahuel and the Magic Book,Animation Fantastique,,2000000.0,0.0,4.0,7.2,,,2020
2308,Name of the Game,Documentaire,,640000.0,0.0,0.0,,,,2022
2309,Nanny,Drame Horreur,,0.0,0.0,151.0,5.38,Nikyatu Jusu,"Anna Diop, Michelle Monaghan, Sinqua Walls",2022
2310,Napoléon,Historique Guerre Drame Histoire Romance,United States of America,165000000.0,220597098.0,4052.0,6.4,Ridley Scott,"Joaquin Phoenix, Vanessa Kirby, Tahar Rahim, Rupert Everett, Mark Bonnar",2023
2311,Narayan Pustika,Mystère Fantastique Science-Fiction,,23914.0,67565.0,0.0,,,,2024
2312,Narc,Policier,,150000.0,0.0,0.0,,,,2021
2313,Narcissus and Goldmund,Drame,,0.0,233325.0,47.0,6.2,,,2020
2314,Narco Sub,Action Drame Policier,,0.0,0.0,224.0,6.7,,,2021
2315,Narvik,Guerre Drame Historique Action,,8000000.0,0.0,195.0,7.0,,,2022
2316,Nasha Jurm aur Gangsters,Action Policier Drame Thriller,,598700.0,0.0,0.0,,,,2024
2317,Natale in casa Cupiello,Drame Comédie TV Movie,,0.0,0.0,51.0,6.8,,,2020
2318,Natatorium,Thriller Drame,,1750000.0,0.0,0.0,,,,2024
2319,National Champions,Drame,,0.0,0.0,63.0,6.6,,,2021
2320,Natural Born Liar,Comédie,,0.0,0.0,110.0,4.8,,,2022
2321,Navalny,Documentaire Thriller,,0.0,0.0,66.0,7.26,,,2022
2322,Nayattu,Thriller Drame,,20000000.0,0.0,26.0,8.1,Martin Prakkat,"Kunchacko Boban, Joju George, Nimisha Sajayan",2021
2323,Ne Zha 2,Animation Fantastique Aventure Action,China,80000000.0,2213230000.0,181.0,8.1,饺子,"吕艳婷, 囧森瑟夫, 瀚墨, 陈浩, 绿绮",2025
2324,Ne dis rien,Horreur Thriller Drame,"Denmark, Netherlands",3200000.0,631249.0,1428.0,6.65,Christian Tafdrup,"Morten Burian, Sidsel Siem Koch, Fedja van Huêt, Karina Smulders, Liva Forsberg",2022
2325,Nefarious,Horreur Thriller Drame,United States of America,3000000.0,5400000.0,428.0,6.78,"Cary Solomon, Chuck Konzelman","Sean Patrick Flanery, Jordan Belfi, Tom Ohmer, Glenn Beck, Daniel Martin Berkey",2023
2326,Neon Spring,Drame,,150000.0,0.0,308.0,5.9,Matiss Kaza,"Marija Luize Melke, Greta Trusina, Gerds Laposka",2022
2327,Neptune Frost,Drame Science-Fiction Musique Fantastique,,0.0,182000.0,8.0,6.5,"Anisia Uzeyman, Saul Williams","Cheryl Isheja, Elvis Ngabo, Diogène Ntarindwa",2022
2328,Nest,Documentaire,,150000.0,0.0,0.0,,,,2021
2329,Never Back Down: Revolt,Action,,0.0,0.0,98.0,6.6,,,2021
2330,Never Rarely Sometimes Always,Drame,,0.0,407807.0,417.0,7.2,,,2020
2331,New Gods : Nezha Reborn,Animation Action Fantastique,China,0.0,70000000.0,800.0,8.1,Zhao Ji,"杨天翔, 张赫, 宣晓鸣, 李詩萌, Keer Zhu",2021
2332,New Gods: Yang Jian,Animation Aventure Fantastique,,0.0,70826303.0,17.0,6.8,,,2022
2333,New Material,Comédie,,1000000.0,0.0,30.0,0.0,Craig Freimond,"Vincent Ebrahim, Joey Rasdien, Zakeeya Patel",2021
2334,New Order,Thriller Drame,,0.0,0.0,251.0,6.6,,,2020
2335,News of the World,Drame Western Aventure Action,,0.0,12668325.0,1462.0,7.0,,,2020
2336,Next Door,Drame,,0.0,0.0,67.0,6.8,Daniel Brühl,"Daniel Brühl, Peter Kurth, Rike Eckermann",2021
2337,Next Goal Wins,Comédie Drame,,14000000.0,5700000.0,11.0,6.5,Taika Waititi,"Michael Fassbender, Oscar Kightley, Kaimana",2023
2338,Ni en la más oscura de mis tardes,Drame,,120000.0,0.0,0.0,,,,2022
2339,"Ni tuyo, Ni mía",Drame,,0.0,0.0,63.0,8.8,,,2021
2340,Nice View,Drame Familial Comédie,,0.0,211018982.0,10.0,6.6,,,2022
2341,Nickel Boys,Drame,United States of America,23200000.0,3016380.0,266.0,6.56,RaMell Ross,"Ethan Herisse, Brandon Wilson, Aunjanue Ellis-Taylor, Hamish Linklater, Gralen Bryant Banks",2024
2342,Night Shift,Horreur,Mexico,0.0,0.0,153.0,6.38,Rigoberto Castañeda,"Paulina Gaitán, Tony Dalton, Patricia Reyes Spíndola, Enoc Leaño, Fernanda Echevarría",2024
2343,Night Shift,Drame,,0.0,0.0,202.0,5.4,,,2020
2344,Night Teeth,Horreur Thriller Action,"United Kingdom, United States of America",21700000.0,0.0,1455.0,6.45,Adam Randall,"Jorge Lendeborg Jr., Debby Ryan, Lucy Fry, Raúl Castillo, Alfie Allen",2021
2345,Night Vacation,Aventure Comédie Animation,,10000.0,83000.0,1.0,7.0,,,2020
2346,Night Where People Oughta Die 8,Horreur,,92000.0,120000.0,1.0,10.0,,,2022
2347,Night at the Museum: Kahmunrah Rises Again,Animation Comédie Familial Fantastique,,0.0,0.0,179.0,6.9,,,2022
2348,Night in Paradise,Policier Drame Thriller Action,South Korea,0.0,0.0,474.0,6.91,박훈정,"Um Tae-goo, 전여빈, Seung-Won Cha, Lee Ki-young, 박호산",2020
2349,Night of the Animated Dead,Animation Horreur,,0.0,0.0,90.0,6.4,,,2021
2350,Night of the Kings,Drame,,0.0,0.0,56.0,6.8,,,2021
2351,Night of the Living Dicks,Horreur Comédie,,215000.0,0.0,2.0,6.5,,,2021
2352,Night of the Sicario,Action Thriller Drame,,0.0,0.0,717.0,6.0,Joth Riggs,"Natasha Henstridge, Manny Perez, Costas Mandylor",2021
2353,Nightbooks,Fantastique Familial Horreur,,0.0,0.0,302.0,6.3,David Yarovesky,"Winslow Fegley, Lidya Jewett, Krysten Ritter",2021
2354,Nightfall,Horreur,,100000.0,0.0,2.0,5.5,,,2020
2355,Nightlife,Comédie Romance,,0.0,10349294.0,117.0,6.4,Simon Verhoeven,"Julian Looman, Elyas M'Barek, Nicholas Ofczarek",2020
2356,Nightmare Alley,Policier Thriller Drame,United States of America,60000000.0,39629195.0,5675.0,6.98,Guillermo del Toro,"Bradley Cooper, Cate Blanchett, Toni Collette, Willem Dafoe, Richard Jenkins",2021
2357,Nightmare Island,Horreur Fantastique Aventure Mystère Action,United States of America,7000000.0,49500000.0,4600.0,5.84,Jeff Wadlow,"Michael Peña, Margaret Denise Quigley, Lucy Hale, Michael Rooker, Austin Stowell",2020
2358,Nightmare Symphony,Horreur,,50000.0,0.0,1.0,9.0,,,2020
2359,Nightmare on 34th Street,Horreur Comédie,,150000.0,0.0,0.0,,,,2023
2360,Nimic,Drame Fantastique Mystère Thriller,,0.0,0.0,132.0,6.8,,,2020
2361,Nimona,Animation Aventure Fantastique Familial Action Science-Fiction Drame,"United Kingdom, United States of America",0.0,0.0,1425.0,7.88,"Troy Quane, Nick Bruno","Chloë Grace Moretz, Riz Ahmed, Eugene Lee Yang, Frances Conroy, Lorraine Toussaint",2023
2362,Nine Days,Drame Fantastique,,10000000.0,969204.0,128.0,7.0,Edson Oda,"Winston Duke, Zazie Beetz, Bill Skarsgård",2021
2363,Nine Where People Die: Banana,Horreur,,30000.0,120000.0,1.0,10.0,,,2022
2364,Ninja Turtles : Teenage Years,Animation Comédie Action Science-Fiction,"Canada, France, United States of America",75000000.0,180513586.0,1861.0,7.23,Jeff Rowe,"Micah Abbey, Shamon Brown Jr., Nicolas Cantu, Brady Noon, Ayo Edebiri",2023
2365,Nishkinata,Horreur,,2000000.0,0.0,0.0,,,,2021
2366,Nitram,Drame Thriller,,0.0,0.0,77.0,7.0,,,2021
2367,Nna Thaan Case Kodu,Drame Policier Comédie,,612639.0,0.0,12.0,8.2,,,2022
2368,No Ghost in the Morgue,Drame Comédie Fantastique,,200000.0,0.0,0.0,,,,2022
2369,No Limit,Drame,,10503445.0,0.0,231.0,6.1,,,2022
2370,No Man of God,Policier Drame Thriller Historique,,0.0,0.0,204.0,6.8,,,2021
2371,No Means No,,,40000000.0,0.0,0.0,,,,2021
2372,No Sudden Move,Policier Drame Mystère,,0.0,0.0,510.0,6.4,Steven Soderbergh,"Don Cheadle, Benicio Del Toro, David Harbour",2021
2373,No Way Up,Thriller Horreur Action,United Kingdom,0.0,0.0,1030.0,6.32,Claudio Fäh,"Colm Meaney, Phyllis Logan, Sophie McIntosh, Will Attenborough, Jeremias Amoore",2024
2374,No. 10,Drame Science-Fiction Mystère,,4700000.0,0.0,5.0,6.6,,,2021
2375,Nobody,Action Policier Thriller,United States of America,17000000.0,61779301.0,13057.0,7.99,Илья Найшуллер,"Bob Odenkirk, Алексей Серебряков, Connie Nielsen, Christopher Lloyd, Michael Ironside",2021
2376,Nobody Knows I'm Here,Drame,,0.0,0.0,148.0,6.9,Gaspar Antillo,"Jorge Garcia, Lukas Vergara, Millaray Lobos",2020
2377,Nobody Sleeps in the Woods Tonight,Horreur Thriller Comédie,Poland,0.0,0.0,1250.0,5.22,Bartosz M. Kowalski,"Julia Wieniawa, Michał Lupa, Wiktoria Gąsiewska, Stanisław Cywka, Sebastian Dela",2020
2378,Nobody Sleeps in the Woods Tonight 2,Horreur Thriller Comédie,,0.0,0.0,191.0,4.1,,,2021
2379,Nocturne,Horreur Mystère Thriller Musique,United States of America,0.0,0.0,824.0,5.88,Zu Quirke,"Sydney Sweeney, Madison Iseman, Jacques Colimon, Ivan Shaw, John Rothman",2020
2380,Noga Can Fly,Fantastique Comédie,,1000000.0,25.0,0.0,,,,2021
2381,Nomadland,Drame,,5000000.0,14784114.0,2563.0,7.3,,,2020
2382,Nonnas,Comédie,United States of America,0.0,0.0,276.0,6.83,Stephen Chbosky,"Vince Vaughn, Lorraine Bracco, Talia Shire, Susan Sarandon, Linda Cardellini",2025
2383,Nope,Horreur Mystère Science-Fiction Thriller,United States of America,68000000.0,170823080.0,6996.0,6.87,Jordan Peele,"Daniel Kaluuya, Keke Palmer, Brandon Perea, Michael Wincott, Steven Yeun",2022
2384,Normal,Drame Comédie,,4000000.0,0.0,0.0,,,,2023
2385,North Circular,Documentaire Musique,,120000.0,0.0,0.0,,,,2022
2386,North Hollywood,Drame Comédie,,1800000.0,0.0,20.0,5.9,Mikey Alfred,"Ryder McLaughlin, Miranda Cosgrove, Vince Vaughn",2021
2387,North of the 10,Comédie Drame,,4500000.0,0.0,1.0,4.0,,,2022
2388,Nos cœurs meurtris,Romance Drame,"United Kingdom, United States of America",0.0,0.0,4567.0,8.14,Elizabeth Allen Rosenbaum,"Sofia Carson, Nicholas Galitzine, John Harlan Kim, Chosen Jacobs, Anthony Ippolito",2022
2389,Nosferatu,Drame Horreur Fantastique,United States of America,50000000.0,180928503.0,2762.0,6.71,Robert Eggers,"Lily-Rose Depp, Nicholas Hoult, Bill Skarsgård, Aaron Taylor-Johnson, Willem Dafoe",2024
2390,Nosotros no olvidamos,Documentaire,,55102.0,0.0,0.0,,,,2020
2391,Nostalgia,Drame Policier,,0.0,0.0,90.0,7.1,,,2022
2392,Not Okay,Comédie Drame,,0.0,0.0,349.0,6.45,,,2022
2393,Not Without Hope,Drame Thriller,,18000000.0,0.0,0.0,,,,2024
2394,Notes for My Son,Drame,,0.0,0.0,76.0,7.6,,,2020
2395,Notre-Dame on Fire,Drame Thriller,,35000000.0,0.0,240.0,6.6,,,2022
2396,Nous sommes là : notes concernant la vie sur la planète Terre,Animation Familial,United Kingdom,0.0,0.0,122.0,7.72,Philip Hunt,"Meryl Streep, Jacob Tremblay, Chris O'Dowd, Ruth Negga, Rob Rackstraw",2020
2397,November,Thriller Policier Drame,,17700000.0,0.0,488.0,7.24,,,2022
2398,Novocaïne,Action Comédie Thriller,United States of America,18000000.0,34208050.0,926.0,6.93,"Dan Berk, Robert Olsen","Jack Quaid, Amber Midthunder, Ray Nicholson, Jacob Batalon, Betty Gabriel",2025
2399,Nowhere,Thriller Drame,Spain,0.0,0.0,1452.0,7.35,Albert Pintó,"Anna Castillo, Tamar Novas, Irina Bravo, Victoria Teijeiro, Lucia Soria",2023
2400,Não Vamos Pagar Nada,Comédie,,72326165.0,0.0,174.0,5.5,João Fonseca,"Flavio Bauraqui, Fernando Caruso, Criolo",2020
2401,N’écoute pas,Drame Horreur Thriller,Spain,0.0,443458.0,1409.0,6.55,Ángel Gómez Hernández,"Rodolfo Sancho, Ramón Barea, Nerea Barros, Belén Fabra, Ana Fernández",2020
2402,OSS 117: From Africa with Love,Comédie Aventure Action,,20400000.0,13450000.0,603.0,5.6,,,2021
2403,Obsession: Escaping My Ex,Thriller TV Movie,,1500000.0,0.0,4.0,5.8,,,2020
2404,Obsession: Her Final Vengeance,Thriller TV Movie,,1500000.0,0.0,2.0,6.0,,,2020
2405,Obsession: Stalked by My Lover,Thriller,,1500000.0,0.0,4.0,5.9,,,2020
2406,Obsidian,Horreur Drame,,50000.0,0.0,90.0,7.0,Erica Summers,"Henry Frost, Tom Proctor, Frank R. Wilson",2021
2407,Occupation: Rainfall,Science-Fiction Action,,25000000.0,331091.0,124.0,6.3,,,2021
2408,Ocean Souls,Documentaire,,250000.0,0.0,1.0,10.0,,,2021
2409,Octonauts: The Ring of Fire,Familial Animation,,0.0,20000000.0,6.0,6.0,,,2021
2410,Oddity,Horreur Mystère,Ireland,0.0,1699044.0,553.0,6.73,Damian Mc Carthy,"Carolyn Bracken, Gwilym Lee, Steve Wall, Joe Rooney, Tadhg Murphy",2024
2411,Off the Grid,Action Thriller,"Italy, United States of America",13000000.0,0.0,21.0,6.95,Johnny Martin,"Josh Duhamel, Peter Stormare, Greg Kinnear, Michael Papajohn, Ana Golja",2025
2412,Off the Rails,Comédie,,0.0,542675.0,12.0,6.3,,,2021
2413,Offering to the Storm,Policier Thriller,,5989313.0,0.0,261.0,6.5,,,2020
2414,Official Competition,Comédie Drame,,0.0,0.0,238.0,7.0,"Mariano Cohn, Gastón Duprat","Penélope Cruz, Antonio Banderas, Oscar Martínez",2021
2415,Offseason,Horreur Mystère,,0.0,0.0,59.0,5.7,Mickey Keating,"Jocelin Donahue, Joe Swanberg, Richard Brake",2022
2416,"Oh, It Hertz!",Documentaire,,387000.0,0.0,0.0,,,,2021
2417,Oink,Animation Familial Comédie,,0.0,712069.0,3.0,5.7,,,2022
2418,Okay! Madam,Comédie Action,,0.0,9341543.0,27.0,7.5,,,2020
2419,Old,Thriller Mystère Horreur,"China, United States of America",18000000.0,90146510.0,8525.0,6.35,M. Night Shyamalan,"Gael García Bernal, Vicky Krieps, Rufus Sewell, Alex Wolff, Thomasin McKenzie",2021
